,experiment,step,pressure,temperature,mass,entropy,enthalpy,volume,Cp,viscosity,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Mg#,phaseID,phase,formula,structure,mass%,volume%,H2O
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,3.511313,,,,,,53.9133,0.25737,19.0554,0.675723,6.06596,0.0,6.24336,9.81175,3.8824400000000003,0.0947319,0.0,0.6472259535061594,,solid,,,3.5326317259397007,,
"(5000, 1260)",363f3d0a0b,4,5000.0,1260.0,4.324319,,,,,,223.2983196582,224.618196952018,245.099642004478,250.199095185228,279.618258962838,279.618258962838,358.068324533238,431.340450533038,432.431947567509,432.431947567509,432.431947567509,0.6953688093778452,,cumulate,,,4.350573843027905,,
"(5000, 1250)",363f3d0a0b,5,5000.0,1250.0,9.716628,,,,,,275.8090561174,277.82552624487704,305.92096598139705,312.91824183215704,350.18934240925705,350.18934240925705,444.08022671725706,537.719829425857,539.23095392309,539.23095392309,539.23095392309,0.6932958622681995,,cumulate,,,9.775621923182019,,
"(5000, 1240)",363f3d0a0b,6,5000.0,1240.0,16.91258,,,,,,366.11204788,368.43033175607997,456.24972996407996,463.66084092887996,503.02471323543995,503.02471323543995,594.08228984344,711.13452345624,719.5352936996001,719.5951653155114,719.5951653155114,0.6779617557581799,,cumulate,,,17.015263713457976,,
"(5000, 1230)",363f3d0a0b,7,5000.0,1230.0,30.152251999999997,,,,,,682.2217626192,684.64482119028,938.64130867428,946.728020893848,1005.151251115128,1005.151251115128,1116.287970610968,1292.850912435768,1323.665454635448,1323.9662824907305,1323.9662824907305,0.664388508360945,,cumulate,,,30.33531958664146,,
"(5000, 1220)",363f3d0a0b,8,5000.0,1220.0,40.92429,,,,,,560.830000413,562.52848150465,773.8370877278501,779.8259207463681,834.4838878806481,834.4838878806481,923.0529846815881,1048.3511762899882,1076.8704700561282,1077.204144705216,1077.204144705216,0.6634965444362433,,cumulate,,,41.172759368235425,,
"(5000, 1210)",363f3d0a0b,9,5000.0,1210.0,48.98774,,,,,,422.607833535,424.04974772745,581.4200696524499,586.1211013197,628.7840089247,628.7840089247,691.7093987656999,782.7062383606999,806.0271065471999,806.3457055518749,806.3457055518749,0.6622685620035471,,cumulate,,,49.28516612050402,,
"(5000, 1200)",363f3d0a0b,10,5000.0,1200.0,55.269095,,,,,,331.44260606550006,332.69677909293006,454.62478913343006,458.4484132371601,492.9669715041601,492.9669715041601,539.4421518272101,608.11934671971,627.82339203276,628.1355288942331,628.1355288942331,0.6610855188126067,,cumulate,,,55.604657990038284,,
"(5000, 1190)",363f3d0a0b,11,5000.0,1190.0,60.320954,,,,,,268.4244657342,269.535308905992,367.041744650892,370.238606492823,398.987574134253,398.987574134253,434.372966869623,487.78172540352296,504.87307373514295,505.18586867847415,505.18586867847415,0.6599374052309157,,cumulate,,,60.687189048469705,,
"(5000, 1180)",363f3d0a0b,12,5000.0,1180.0,64.488064,,,,,,223.003308361,224.00054778932,303.93780220832,306.66845105178004,331.17147456278,331.17147456278,358.75657597198,401.25901441698,416.39133265768,416.710912907401,416.710912907401,0.6588221740883446,,cumulate,,,64.87959940649833,,
"(5000, 1170)",363f3d0a0b,13,5000.0,1170.0,67.999377,,,,,,189.30647116289998,190.21017778970997,257.11965152990996,259.49232648420895,280.79181068968893,280.79181068968893,302.71420182136893,337.16632714911896,350.79878919283897,351.1314225448237,351.1314225448237,0.6577351859348508,,cumulate,,,68.41223113243804,,
"(5000, 1300)",4689ca6fc3,0,5000.0,1300.0,99.399075,278.54429,-1179858.946275,36.775397999999996,149.410719,1.8659999999999999,50.4612,1.54156,14.9651,1.39953,8.82086,0.17314000000000002,7.69786,11.3615,2.7628,0.14416600000000002,0.169217,0.6087033384187475,liquid_0,liquid,,,100.0,100.0,0.503023
"(5000, 1290)",4689ca6fc3,1,5000.0,1290.0,99.399374,277.592169,-1181357.300154,36.746534999999994,149.40868700000001,1.905,50.4611,1.54156,14.9651,1.4025299999999998,8.81814,0.17314000000000002,7.697839999999999,11.3614,2.7627900000000003,0.14416600000000002,0.169216,0.6087761747712495,liquid_0,liquid,,,100.00030080762824,99.92151546531188,0.503021
"(5000, 1280)",4689ca6fc3,2,5000.0,1280.0,99.399695,276.633982,-1182855.954951,36.717695,149.406792,1.944,50.4609,1.54155,14.965,1.40574,8.81521,0.17313900000000002,7.6978100000000005,11.3614,2.7627900000000003,0.14416500000000002,0.169216,0.6088543928428843,liquid_0,liquid,,,100.00062374825922,99.84309347243503,0.50302
"(5000, 1270)",4689ca6fc3,3,5000.0,1270.0,99.400037,275.66965,-1184354.923381,36.68888,149.405038,1.984,50.4607,1.54155,14.965,1.40917,8.81209,0.17313900000000002,7.697780000000001,11.3614,2.76278,0.14416500000000002,0.169215,0.6089377660277681,liquid_0,liquid,,,100.00096781584737,99.76473945978776,0.5030180000000001
"(5000, 1260)",4689ca6fc3,4,5000.0,1260.0,99.400402,274.69909,-1185854.218688,36.660089,149.403427,2.024,50.4606,1.54154,14.9649,1.41283,8.808760000000001,0.17313800000000001,7.697760000000001,11.3613,2.76277,0.14416400000000001,0.169215,0.6090271485691128,liquid_0,liquid,,,100.00133502248387,99.68645070816093,0.503016
"(5000, 1250)",4689ca6fc3,5,5000.0,1250.0,99.400791,273.722219,-1187353.85467,36.631325,149.401964,2.065,50.4604,1.54154,14.9649,1.4167299999999998,8.80521,0.17313699999999999,7.69773,11.3613,2.76275,0.14416400000000001,0.169214,0.6091221972440327,liquid_0,liquid,,,100.00172637421426,99.60823537518208,0.5030140000000001
"(5000, 1240)",4689ca6fc3,6,5000.0,1240.0,94.353936,259.195473,-1127380.061249,34.799906,141.418074,2.142,50.3999,1.6046799999999999,15.5171,1.42451,8.93147,0.182398,7.15269,11.0292,2.89792,0.151875,0.178265,0.5880595794841994,liquid_0,liquid,,,94.92436021160158,94.62822400997538,0.52992
"(5000, 1230)",4689ca6fc3,7,5000.0,1230.0,89.47684,245.218333,-1069480.747149,33.034106,133.722955,2.222,50.3584,1.6684900000000003,16.0878,1.43039,9.05567,0.19234,6.59887,10.6592,3.04186,0.160153,0.18798199999999998,0.5650171222132766,liquid_0,liquid,,,90.01777934050192,89.82664443223702,0.558804
"(5000, 1220)",4689ca6fc3,8,5000.0,1220.0,85.115578,232.707235,-1017865.7737110001,31.456924,126.859343,2.3040000000000003,50.3398,1.72753,16.6323,1.43426,9.16613,0.20219600000000001,6.07764,10.2833,3.18341,0.16835899999999998,0.197614,0.5416888202712882,liquid_0,liquid,,,85.63015098480544,85.5379566524338,0.587437
"(5000, 1210)",4689ca6fc3,9,5000.0,1210.0,81.199697,221.460092,-971676.504049,30.042578000000002,120.712452,2.387,50.3432,1.7814599999999998,17.1507,1.43628,9.262360000000001,0.21194699999999997,5.5873099999999996,9.90509,3.32235,0.176478,0.207144,0.5181373144650439,liquid_0,liquid,,,81.69059621530683,81.69205401937461,0.615766
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,77.438865,210.703056,-927115.723936,28.681034000000004,111.850445,2.468,50.3667,1.8355299999999999,17.605,1.44018,9.3704,0.22224000000000002,5.13804,9.514619999999999,3.4593800000000003,0.184971,0.217204,0.4942897293342266,liquid_0,liquid,,,77.90702780684832,77.98973106966784,0.645671
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,71.071572,193.052343,-847642.8642289999,26.313411,102.28885600000001,2.503,50.3733,1.96681,17.5049,1.49251,9.83715,0.24215,4.87003,8.97371,3.5990800000000003,0.200188,0.236663,0.468784671790646,liquid_0,liquid,,,71.50124083146649,71.55166886297192,0.703516
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,64.814779,175.788326,-769623.915597,23.986833999999998,92.940058,2.529,50.3317,2.13148,17.2966,1.55426,10.2903,0.26552600000000004,4.5288,8.61244,3.7402699999999998,0.21768600000000002,0.259509,0.4396204268415406,liquid_0,liquid,,,65.20662189260817,65.22521931645716,0.771429
"(5000, 1240)",4689ca6fc3,6,5000.0,1240.0,5.046392,12.116076,-63624.550912,1.563146,6.073555000000001,,51.5955,0.361092,4.64036,1.17983,6.5277,0.0,17.8891,17.5707,0.23571399999999998,0.0,0.0,0.83007782922515,clinopyroxene_0,clinopyroxene,Na0.02Ca0.69Fe{2+}0.2Mg0.97Fe{3+}0.03Ti0.01Al0.2Si1.88O6,cpx,5.076900363509419,4.250520959691586,0.0
"(5000, 1230)",4689ca6fc3,7,5000.0,1230.0,4.87793,11.660432,-61406.405865,1.5072729999999999,5.85104,,51.1625,0.434037,5.04737,1.28259,6.6837100000000005,0.0,17.3139,17.8186,0.257194,0.0,0.0,0.8219885292590738,clinopyroxene_0,clinopyroxene,Na0.02Ca0.7Fe{2+}0.2Mg0.94Fe{3+}0.04Ti0.01Al0.22Si1.87O6,cpx,4.907419913112874,4.098590584933983,0.0
"(5000, 1220)",4689ca6fc3,8,5000.0,1220.0,4.362408,10.383784,-54820.713663999995,1.344549,5.215678,,50.7205,0.5162220000000001,5.46114,1.38828,6.86942,0.0,16.7709,17.9942,0.279331,0.0,0.0,0.813149719034969,clinopyroxene_0,clinopyroxene,Na0.02Ca0.71Fe{2+}0.21Mg0.92Fe{3+}0.04Ti0.01Al0.24Si1.86O6,cpx,4.388781283930459,3.6561099896186033,0.0
"(5000, 1210)",4689ca6fc3,9,5000.0,1210.0,3.917296,9.285141000000001,-49132.491707,1.20417,4.66846,,50.265,0.609071,5.88307,1.49774,7.07492,0.0,16.2436,18.1242,0.302345,0.0,0.0,0.8036373450623644,clinopyroxene_0,clinopyroxene,Na0.02Ca0.71Fe{2+}0.22Mg0.89Fe{3+}0.04Ti0.02Al0.25Si1.85O6,cpx,3.9409783239934577,3.2743901235276915,0.0
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,3.540026,8.357025,-44299.851905,1.085216,4.206011,,49.8193,0.709928,6.28301,1.6059,7.3304100000000005,0.0,15.7681,18.158,0.325312,0.0,0.0,0.7931468864250747,clinopyroxene_0,clinopyroxene,Na0.02Ca0.72Fe{2+}0.23Mg0.87Fe{3+}0.04Ti0.02Al0.27Si1.83O6,cpx,3.5614275082539755,2.950929314211637,0.0
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,3.218715,7.588375,-40028.427267,0.983759,3.824732,,49.7903,0.73252,6.20716,1.6193899999999999,8.29987,0.0,16.0871,16.9354,0.328346,0.0,0.0,0.7755326605260886,clinopyroxene_0,clinopyroxene,Na0.02Ca0.67Fe{2+}0.26Mg0.88Fe{3+}0.04Ti0.02Al0.27Si1.83O6,cpx,3.2381739970920256,2.6750465079942853,0.0
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,1.630539,3.891283,-19621.709880000002,0.494134,1.970807,,50.9059,0.386273,5.1151800000000005,1.30094,13.9524,0.0,20.6786,7.484839999999999,0.175826,0.0,0.0,0.7254163544490866,clinopyroxene_0,clinopyroxene,Na0.01Ca0.29Fe{2+}0.43Mg1.13Fe{3+}0.04Ti0.01Al0.22Si1.87O6,cpx,1.6403965529860316,1.3436537111032762,0.0
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,1.194687,2.805903,-14797.347295,0.364076,1.41573,,49.5196,0.840282,6.28795,1.70228,8.79018,0.0,15.8082,16.7076,0.34383800000000003,0.0,0.0,0.7622283871994691,clinopyroxene_1,clinopyroxene,Na0.02Ca0.66Fe{2+}0.27Mg0.87Fe{3+}0.05Ti0.02Al0.27Si1.83O6,cpx,1.2019095751142554,0.9899988030041171,0.0
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,0.22239,0.546265,-3027.278851,0.083263,0.274071,,50.3426,0.0,31.8277,0.0,0.0,0.0,0.0,14.5115,3.2911599999999996,0.027093799999999998,0.0,,feldspar_0,feldspar,K0Na0.29Ca0.71Al1.71Si2.29O8,,0.22373447640232066,0.22640951431715303,0.0
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,3.150338,7.722427000000001,-42908.675945999996,1.1808100000000001,3.880011,,50.8115,0.0,31.5111,0.0,0.0,0.0,0.0,14.1408,3.50601,0.030583600000000002,0.0,,feldspar_0,feldspar,K0Na0.31Ca0.69Al1.69Si2.31O8,,3.1693836185095283,3.2108693969811024,0.0
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,3.432382,8.394694,-46779.028027,1.287734,4.22454,,51.2196,0.0,31.2353,0.0,0.0,0.0,0.0,13.8181,3.69251,0.034499800000000004,0.0,,feldspar_0,feldspar,K0Na0.33Ca0.67Al1.67Si2.33O8,,3.4531327379052574,3.5016181198093363,0.0
"(5000, 1300)",4689ca6fc3,0,5000.0,1300.0,99.399075,,,,,,50.4612,1.54156,14.9651,1.39953,8.82086,0.17314000000000002,7.69786,11.3615,2.7628,0.14416600000000002,0.169217,0.6087033384187475,,bulk,,,100.0,,0.503023
"(5000, 1290)",4689ca6fc3,1,5000.0,1290.0,99.399374,,,,,,50.4611,1.54156,14.9651,1.4025299999999998,8.81814,0.17314000000000002,7.697839999999999,11.3614,2.7627900000000003,0.14416600000000002,0.169216,0.6087761747712495,,bulk,,,100.00030080762824,,0.503021
"(5000, 1280)",4689ca6fc3,2,5000.0,1280.0,99.399695,,,,,,50.4609,1.54155,14.965,1.40574,8.81521,0.17313900000000002,7.6978100000000005,11.3614,2.7627900000000003,0.14416500000000002,0.169216,0.6088543928428843,,bulk,,,100.00062374825922,,0.50302
"(5000, 1270)",4689ca6fc3,3,5000.0,1270.0,99.400037,,,,,,50.4607,1.54155,14.965,1.40917,8.81209,0.17313900000000002,7.697780000000001,11.3614,2.76278,0.14416500000000002,0.169215,0.6089377660277681,,bulk,,,100.00096781584737,,0.5030180000000001
"(5000, 1260)",4689ca6fc3,4,5000.0,1260.0,99.400402,,,,,,50.4606,1.54154,14.9649,1.41283,8.808760000000001,0.17313800000000001,7.697760000000001,11.3613,2.76277,0.14416400000000001,0.169215,0.6090271485691128,,bulk,,,100.00133502248387,,0.503016
"(5000, 1250)",4689ca6fc3,5,5000.0,1250.0,99.400791,,,,,,50.4604,1.54154,14.9649,1.4167299999999998,8.80521,0.17313699999999999,7.69773,11.3613,2.76275,0.14416400000000001,0.169214,0.6091221972440327,,bulk,,,100.00172637421426,,0.5030140000000001
"(5000, 1240)",4689ca6fc3,6,5000.0,1240.0,99.400328,,,,,,50.4606,1.54154,14.9649,1.41209,8.809439999999999,0.17313800000000001,7.697760000000001,11.3613,2.76277,0.14416500000000002,0.169215,0.609008767774512,,bulk,,,100.00126057511099,,0.503016
"(5000, 1230)",4689ca6fc3,7,5000.0,1230.0,94.35477,,,,,,50.4,1.60467,15.517000000000001,1.42275,8.93304,0.182397,7.152819999999999,11.0293,2.8979,0.151874,0.178263,0.5880214028375312,,bulk,,,94.92519925361479,,0.5299149999999999
"(5000, 1220)",4689ca6fc3,8,5000.0,1220.0,89.477986,,,,,,50.3584,1.6684700000000001,16.0877,1.43202,9.054160000000001,0.192338,6.59898,10.6593,3.04183,0.160151,0.187979,0.565062203688007,,bulk,,,90.01893226873591,,0.558797
"(5000, 1210)",4689ca6fc3,9,5000.0,1210.0,85.11699200000001,,,,,,50.3396,1.7275,16.6321,1.4391100000000001,9.16169,0.202192,6.07774,10.2834,3.18336,0.168357,0.19760999999999998,0.5418131877615395,,bulk,,,85.63157353325472,,0.587427
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,81.20128100000001,,,,,,50.3428,1.7814299999999998,17.1504,1.44346,9.2558,0.21194200000000002,5.5874,9.90512,3.32229,0.176475,0.20714000000000002,0.5183182240997124,,bulk,,,81.6921897915046,,0.615754
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,77.440625,,,,,,50.3669,1.8355,17.6051,1.43707,9.37307,0.222235,5.13813,9.51483,3.45935,0.184968,0.21719899999999998,0.4942228924129796,,bulk,,,77.90879844706804,,0.645656
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,71.072387,,,,,,50.3741,1.9668,17.5052,1.47587,9.85213,0.24214699999999997,4.8702,8.97405,3.5990900000000003,0.200186,0.23665999999999998,0.4684144542780434,,bulk,,,71.50206075861371,,0.703508
"(5000, 1240)",4689ca6fc3,6,5000.0,1240.0,5.046392,,,,,,51.5955,0.361092,4.64036,1.17983,6.5277,0.0,17.8891,17.5707,0.23571399999999998,0.0,0.0,0.83007782922515,,solid,,,5.076900363509419,,0.0
"(5000, 1230)",4689ca6fc3,7,5000.0,1230.0,4.87793,,,,,,51.1625,0.434037,5.04737,1.28259,6.6837100000000005,0.0,17.3139,17.8186,0.257194,0.0,0.0,0.8219885292590738,,solid,,,4.907419913112874,,0.0
"(5000, 1220)",4689ca6fc3,8,5000.0,1220.0,4.362408,,,,,,50.7205,0.5162220000000001,5.46114,1.38828,6.86942,0.0,16.7709,17.9942,0.279331,0.0,0.0,0.813149719034969,,solid,,,4.388781283930459,,0.0
"(5000, 1210)",4689ca6fc3,9,5000.0,1210.0,3.917296,,,,,,50.265,0.609071,5.88307,1.49774,7.07492,0.0,16.2436,18.1242,0.302345,0.0,0.0,0.8036373450623644,,solid,,,3.9409783239934577,,0.0
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,3.7624160000000004,,,,,,49.8502,0.6679649999999999,7.792910000000001,1.5109700000000001,6.89712,0.0,14.8361,17.9425,0.500618,0.00160146,0.0,0.7931472151880288,,solid,,,3.785161984656296,,0.0
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,6.369052,,,,,,50.2954,0.370192,18.7233,0.818385,4.19449,0.0,8.1299,15.5531,1.90012,0.015127600000000001,0.0,0.7755324877629763,,solid,,,6.407556609555974,,0.0
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,6.257608,,,,,,50.8133,0.261075,19.6663,0.663978,5.31377,0.0,8.40628,12.7195,2.13685,0.0189236,0.0,0.7382165368209259,,solid,,,6.2954388660055445,,0.0
"(5000, 1240)",4689ca6fc3,6,5000.0,1240.0,5.046392,,,,,,260.371118436,262.193330216064,285.610405797184,291.564290470544,324.505623528944,324.505623528944,414.781034656144,503.449674570544,504.639179814432,504.639179814432,504.639179814432,0.6949766491958975,,cumulate,,,5.076900363509419,,504.639179814432
"(5000, 1230)",4689ca6fc3,7,5000.0,1230.0,9.924322,,,,,,249.567093625,251.68429572841,276.30501327251,282.56139751121,315.16406703151,315.16406703151,399.62005925851,486.53794275651,487.79251708493,487.79251708493,487.79251708493,0.6932723957149096,,cumulate,,,9.984320276622292,,487.79251708493
"(5000, 1220)",4689ca6fc3,8,5000.0,1220.0,14.28673,,,,,,221.26351496400002,223.51548594657604,247.33920677169604,253.39545054993604,283.362663313296,283.362663313296,356.52417164049604,435.02221367409607,436.2407694631441,436.2407694631441,436.2407694631441,0.691622689319163,,cumulate,,,14.373101560552753,,436.2407694631441
"(5000, 1210)",4689ca6fc3,9,5000.0,1210.0,18.204026,,,,,,196.90288344,199.288794832016,222.33452141073602,228.20161232177603,255.91616813809603,255.91616813809603,319.54715744369605,390.5450136068961,391.7293884660161,391.7293884660161,391.7293884660161,0.6899952220970242,,cumulate,,,18.31407988454621,,391.7293884660161
"(5000, 1200)",4689ca6fc3,10,5000.0,1200.0,21.966442,,,,,,187.55719008320003,190.07035228664003,219.39052155720003,225.07541926072003,251.02525390264003,251.02525390264003,306.84483392024003,374.35198300024,376.235516173328,376.24154153205535,376.24154153205535,0.6854280420259073,,cumulate,,,22.09924186920251,,376.24154153205535
"(5000, 1190)",4689ca6fc3,11,5000.0,1190.0,28.335494,,,,,,320.3340179608,322.691790058784,441.941461370384,447.15379799140396,473.86872291488396,473.86872291488396,525.648478769684,624.706981430884,636.8089445171239,636.9052929881591,636.9052929881591,0.6641279171944829,,cumulate,,,28.506798478758483,,636.9052929881591
"(5000, 1180)",4689ca6fc3,12,5000.0,1180.0,34.593102,,,,,,317.9697125864,319.603417595,442.6674138054,446.82232785002395,480.07381751218395,480.07381751218395,532.677022490424,612.270667446424,625.642237101224,625.7606535719729,625.7606535719729,0.6641888170500048,,cumulate,,,34.80223734476402,,625.7606535719729
